time [s],magx,magy,magz,step_count,Unnamed: 5,step_mod6
0.13074,-16327,2669,,24,,24
0.140827,-16317,2665,,24,,24
0.150792,-16323,2673,,24,,24
0.300794,-16023,-1213,,25,,25
0.310681,-16005,-1211,,25,,25
0.320862,-16012,-1211,,25,,25
0.500831,-15389,-5449,,26,,26
0.510732,-15393,-5461,,26,,26
0.520802,-15379,-5449,,26,,26
0.710686,-13410,-14640,,27,,27
0.720711,-13396,-14623,,27,,27
0.910716,-12008,-18370,,28,,28
0.920831,-12005,-18354,,28,,28
1.11068,-10754,-21214,,29,,29
1.12089,-10753,-21183,,29,,29
1.3008,-8956,-24287,,30,,30
1.31075,-8952,-24268,,30,,30
1.32087,-8956,-24253,,30,,30
1.51072,-4967,-29446,,31,,31
1.52081,-4973,-29441,,31,,31
1.71072,-3292,-30727,,32,,32
1.72079,-3298,-30737,,32,,32
1.90083,-1534,-31877,,33,,33
1.9107,-1527,-31880,,33,,33
1.92084,-1544,-31880,,33,,33
2.10124,2075,-32416,,34,,34
2.11069,2096,-32384,,34,,34
2.12093,2069,-32384,,34,,34
2.30081,4187,-32215,,35,,35
2.31067,4178,-32242,,35,,35
2.32087,4195,-32223,,35,,35
2.50081,7852,-29875,,36,,0
2.51067,7850,-29872,,36,,0
2.52092,7847,-29861,,36,,0
2.70078,9263,-28564,,37,,1
2.71067,9266,-28567,,37,,1
2.72091,9274,-28555,,37,,1
2.90083,10908,-25958,,38,,2
2.91071,10927,-25967,,38,,2
2.92085,10919,-25951,,38,,2
3.10886,13714,-19614,,39,,3
3.11725,13723,-19598,,39,,3
3.31069,14651,-15644,,40,,4
3.32074,14632,-15657,,40,,4
3.33068,14649,-15656,,40,,4
3.50077,15116,-12840,,41,,5
3.5107,15114,-12826,,41,,5
3.52096,15127,-12824,,41,,5
3.7107,15545,-8264,,42,,6
3.72089,15565,-8260,,42,,6
3.90081,15687,984,,43,,7
3.91074,15695,986,,43,,7
3.92093,15688,974,,43,,7
4.11078,15443,5041,,44,,8
4.12069,15433,5055,,44,,8
4.30076,14883,8914,,45,,9
4.31075,14892,8920,,45,,9
4.32081,14875,8938,,45,,9
4.51071,13056,17476,,46,,10
