direction,duty,advance_deg,sample_hz,duration_ms,result,sample_count,missed_count,mct_fault_count,faults,rpm_start,rpm_end,rpm_peak,accel_rpm_s,accel_window_rpm_s,final_rpm_mean,final_rpm_std,ripple,angle_delta_turns,monotonic_fraction,valid,note
1,250,30,250,600,0,150,0,0,0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
1,250,50,250,600,0,150,0,0,0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
1,250,70,250,600,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
1,250,90,250,600,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
1,250,110,250,600,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
1,250,130,250,600,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
1,250,150,250,600,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,100,30,250,600,0,150,0,0,0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,100,50,250,600,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,100,70,250,600,0,150,0,0,0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,100,90,250,600,0,150,0,0,0,0.0,0.0,0.0,-51.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,100,110,250,600,0,150,0,0,0,0.0,0.0,0.0,-295.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,100,130,250,600,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,100,150,250,600,0,150,0,0,0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,150,30,250,600,0,150,0,0,0,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,150,50,250,600,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,150,70,250,600,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,150,90,250,600,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,150,110,250,600,0,150,0,0,0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,150,130,250,600,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,150,150,250,600,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,200,30,250,600,-1,0,0,0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,inf,0.0,0.0,False,TimeoutError
-1,200,50,250,600,0,150,0,0,0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,200,70,250,600,0,150,0,0,0,0.0,0.0,0.0,-63.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,200,90,250,600,0,150,0,0,0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,200,110,250,600,0,150,0,0,0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,200,130,250,600,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,200,150,250,600,0,150,0,0,0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,250,30,250,600,0,150,0,0,0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,250,50,250,600,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,250,70,250,600,0,150,0,0,0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,250,90,250,600,0,150,0,0,0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,250,110,250,600,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,250,130,250,600,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
-1,250,150,250,600,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,1.0,False,no_motion
